Date,Open,High,Low,Last,Volume
2012-10-31,141.85,142.03,140.68,141.35,103228300
2012-11-01,141.65,143.01,141.52,142.83,99852090
2012-11-02,143.68,143.72,141.41,141.56,137623500
2012-11-05,141.35,142.17,140.93,141.85,98300830
2012-11-06,142.28,143.52,142.13,142.96,106549600
2012-11-07,141.66,141.68,139.06,139.72,261905200
2012-11-08,139.70,140.41,137.93,138.04,181308400
2012-11-09,137.62,139.44,137.55,138.16,200871900
2012-11-12,138.59,138.81,137.96,138.27,97279020
2012-11-13,137.54,139.25,137.36,137.79,122785900
2012-11-14,138.21,138.43,135.62,135.93,190230900
2012-11-15,135.98,136.49,135.18,135.70,177905200
2012-11-16,135.90,136.64,134.70,136.37,239288900
2012-11-19,137.90,139.15,136.41,139.13,150573800
2012-11-20,138.91,139.42,138.08,139.19,119380600
2012-11-21,139.31,139.57,139.03,139.45,81529320
2012-11-23,140.13,141.40,140.04,141.35,65409150
2012-11-26,140.65,141.36,140.19,141.05,98114700
2012-11-27,140.91,141.39,140.24,140.33,127721800
2012-11-28,139.76,141.54,139.00,141.46,176211000
2012-11-29,141.99,142.51,141.37,142.12,150637600
2012-11-30,142.14,142.42,141.66,142.16,135979000
2012-12-03,142.80,142.92,141.34,141.45,124366800
2012-12-04,141.44,141.87,140.87,141.25,126605500
2012-12-05,141.37,142.16,140.37,141.50,147051900
2012-12-06,141.37,142.04,141.16,141.98,97551100
2012-12-07,142.53,142.69,141.67,142.42,108557900
2012-12-10,142.21,142.81,142.15,142.47,98322940
2012-12-11,143.06,144.11,142.99,143.44,152237700
2012-12-12,144.00,144.55,143.31,143.51,146713100
2012-12-13,143.42,143.83,142.28,142.63,134955200
2012-12-14,142.32,142.58,141.88,142.11,137567300
2012-12-17,142.47,143.85,142.43,143.77,141103400
2012-12-18,144.00,145.50,143.79,145.37,177439600
2012-12-19,145.53,145.58,144.24,144.29,150584100
2012-12-20,144.38,145.14,143.98,145.12,167745600
2012-12-21,142.17,144.09,141.94,142.79,244856800
2012-12-24,142.48,142.56,142.19,142.35,53874550
2012-12-26,142.64,142.71,141.35,141.75,105874900
2012-12-27,141.79,142.08,139.92,141.56,167642200
2012-12-28,140.64,141.42,139.87,140.03,147242200
2012-12-31,139.66,142.56,139.54,142.41,243245200
2013-01-02,145.11,146.15,144.73,146.06,191654500
2013-01-03,145.99,146.37,145.34,145.73,144662700
2013-01-04,145.97,146.61,145.67,146.37,116733500
2013-01-07,145.85,146.44,145.43,145.97,108835600
2013-01-08,145.71,145.91,144.98,145.55,121122400
2013-01-09,145.87,146.32,145.64,145.92,90549270
2013-01-10,146.73,147.09,145.97,147.08,130476700
2013-01-11,147.04,147.15,146.61,147.07,113872700
2013-01-14,146.89,147.07,146.43,146.97,89485000
2013-01-15,146.29,147.21,146.20,147.07,93112030
2013-01-16,146.77,147.28,146.61,147.05,104738300
2013-01-17,147.70,148.42,147.14,148.00,133440000
2013-01-18,147.97,148.49,147.43,148.33,169624700
2013-01-22,148.33,149.13,147.98,149.13,111655500
2013-01-23,149.13,149.50,148.86,149.37,103845800
2013-01-24,149.15,150.14,149.01,149.41,146135100
2013-01-25,149.88,150.25,149.37,150.25,147134700
2013-01-28,150.29,150.33,149.51,150.07,113188900
2013-01-29,149.77,150.85,149.67,150.66,105583100
2013-01-30,150.64,150.94,149.93,150.07,137272900
2013-01-31,149.89,150.38,149.60,149.70,108420400
2013-02-01,150.65,151.42,150.39,151.24,130970600
2013-02-04,150.32,151.27,149.43,149.54,158846000
2013-02-05,150.35,151.48,150.29,151.05,113809800
2013-02-06,150.52,151.26,150.41,151.16,138603300
2013-02-07,151.21,151.35,149.86,150.96,162368300
2013-02-08,151.22,151.89,151.22,151.80,99038790
2013-02-11,151.74,151.90,151.39,151.77,73657420
2013-02-12,151.78,152.30,151.61,152.02,65294900
2013-02-13,152.33,152.61,151.72,152.15,82208140
2013-02-14,151.69,152.47,151.52,152.29,80238140
2013-02-15,152.43,152.59,151.55,152.11,207905700
2013-02-19,152.37,153.28,152.16,153.25,95040860
2013-02-20,153.14,153.19,151.26,151.34,160276600
2013-02-21,150.96,151.42,149.94,150.42,181241600
2013-02-22,151.15,151.89,150.49,151.89,106182800
2013-02-25,152.63,152.86,149.00,149.00,237231600
2013-02-26,149.72,150.20,148.73,150.02,186261600
2013-02-27,149.89,152.33,149.76,151.91,146018400
2013-02-28,151.90,152.87,151.41,151.61,123943000
2013-03-01,151.09,152.34,150.41,152.11,170601500
2013-03-04,151.76,152.92,151.52,152.92,97326850
2013-03-05,153.66,154.70,153.64,154.29,121362700
2013-03-06,154.84,154.92,154.16,154.50,94324850
2013-03-07,154.70,154.98,154.52,154.78,85609670
2013-03-08,155.46,155.65,154.66,155.44,123443600
2013-03-11,155.33,156.04,155.13,156.03,83295090
2013-03-12,155.92,156.10,155.21,155.68,105659900
2013-03-13,155.76,156.12,155.23,155.91,92235660
2013-03-14,156.31,156.80,155.91,156.73,125805300
2013-03-15,155.85,156.04,155.31,155.83,138387500
